clienteID,churn,genero,tercera_edad,tiene_pareja,tiene_dependientes,antiguedadContrato_Meses,telefono_suscripcion,telefono_lineas_multiples,internet_suscripcion,seguridadOnline_suscripcion,backupOnline_suscripcion,proteccionDispositivos_suscripcion,soporteTecnico_suscripcion,tvDigital_suscripcion,peliculasDigitales_suscripcion,tipo_contrato,factura_digital,metodo_pago,cargos_mensuales,cargos_totales,pago_automatico,tipo_servicio_internet,cargos_diarios,ambasSuscripciones
0018-NYROU,False,F,False,True,False,5,True,False,True,False,False,False,False,False,False,MENSUAL,True,CHEQUE ELECTRONICO,68.95,351.5,False,FIBRA OPTICA,2.2983333333333333,True
0019-EFAEP,False,F,False,False,False,72,True,True,True,True,True,True,False,True,False,BIENAL,True,TRANSFERENCIA BANCARIA,101.3,7261.25,True,FIBRA OPTICA,3.3766666666666665,True
0019-GFNTW,False,F,False,False,False,56,False,False,True,True,True,True,True,False,False,BIENAL,False,TRANSFERENCIA BANCARIA,45.05,2560.1,True,DSL,1.5016666666666665,False
0020-INWCK,False,F,False,True,True,71,True,True,True,False,True,True,False,False,True,BIENAL,True,TARJETA CREDITO,95.75,6849.4,True,FIBRA OPTICA,3.191666666666667,True
0020-JDNXP,False,F,False,True,True,34,False,False,True,True,False,True,True,True,True,ANUAL,False,CHEQUE POSTAL,61.25,1993.2,False,DSL,2.0416666666666665,False
0021-IKXGC,False,F,True,False,False,1,True,True,True,False,False,False,False,False,False,MENSUAL,True,CHEQUE ELECTRONICO,72.1,72.1,False,FIBRA OPTICA,2.4033333333333333,True
0022-TCJCI,True,M,True,False,False,45,True,False,True,True,False,True,False,False,True,ANUAL,False,TARJETA CREDITO,62.7,2791.5,True,DSL,2.0900000000000003,True
0023-HGHWL,True,M,True,False,False,1,False,False,True,False,False,False,False,False,False,MENSUAL,True,CHEQUE ELECTRONICO,25.1,25.1,False,DSL,0.8366666666666667,False
0023-UYUPN,False,F,True,True,False,50,True,True,False,False,False,False,False,False,False,ANUAL,False,CHEQUE ELECTRONICO,25.2,1306.3,False,SIN SUSCRIPCIÓN A INTERNET,0.84,False
0023-XUOPT,True,F,False,True,False,13,True,True,True,False,True,True,False,True,False,MENSUAL,False,CHEQUE ELECTRONICO,94.1,1215.6,False,FIBRA OPTICA,3.1366666666666663,True
0027-KWYKW,False,F,False,True,True,23,True,True,True,False,False,False,False,True,False,MENSUAL,True,CHEQUE ELECTRONICO,83.75,1849.95,False,FIBRA OPTICA,2.7916666666666665,True
0030-FNXPP,False,F,False,False,False,3,True,False,False,False,False,False,False,False,False,MENSUAL,False,CHEQUE POSTAL,19.85,57.2,False,SIN SUSCRIPCIÓN A INTERNET,0.6616666666666667,False
0031-PVLZI,True,F,False,True,True,4,True,False,False,False,False,False,False,False,False,MENSUAL,False,CHEQUE POSTAL,20.35,76.35,False,SIN SUSCRIPCIÓN A INTERNET,0.6783333333333333,False
0032-PGELS,True,F,False,True,True,1,False,False,True,True,False,False,False,False,False,MENSUAL,False,TRANSFERENCIA BANCARIA,30.5,30.5,True,DSL,1.0166666666666666,False
0036-IHMOT,False,F,False,True,True,55,True,False,True,False,True,True,True,True,True,ANUAL,True,TRANSFERENCIA BANCARIA,103.7,5656.75,True,FIBRA OPTICA,3.4566666666666666,True
0040-HALCW,False,M,False,True,True,54,True,False,False,False,False,False,False,False,False,BIENAL,False,TARJETA CREDITO,20.4,1090.6,True,SIN SUSCRIPCIÓN A INTERNET,0.6799999999999999,False
0042-JVWOJ,False,M,False,False,False,26,True,False,False,False,False,False,False,False,False,ANUAL,True,TRANSFERENCIA BANCARIA,19.6,471.85,True,SIN SUSCRIPCIÓN A INTERNET,0.6533333333333334,False
0042-RLHYP,False,F,False,True,True,69,True,False,False,False,False,False,False,False,False,BIENAL,False,TRANSFERENCIA BANCARIA,19.7,1396.9,True,SIN SUSCRIPCIÓN A INTERNET,0.6566666666666666,False
0047-ZHDTW,True,F,False,False,False,11,True,True,True,True,False,False,False,False,False,MENSUAL,True,TRANSFERENCIA BANCARIA,79.0,929.3,True,FIBRA OPTICA,2.6333333333333333,True
0048-LUMLS,False,M,False,True,True,37,True,False,True,False,False,False,False,True,True,ANUAL,False,TARJETA CREDITO,91.2,3247.55,True,FIBRA OPTICA,3.04,True
0048-PIHNL,False,F,False,True,False,49,True,False,False,False,False,False,False,False,False,ANUAL,False,TRANSFERENCIA BANCARIA,20.45,900.9,True,SIN SUSCRIPCIÓN A INTERNET,0.6816666666666666,False
0052-DCKON,False,M,False,True,False,66,True,True,True,True,True,True,True,True,True,ANUAL,False,TRANSFERENCIA BANCARIA,115.8,7942.15,True,FIBRA OPTICA,3.86,True
0052-YNYOT,False,F,False,False,False,67,True,False,False,False,False,False,False,False,False,ANUAL,False,CHEQUE ELECTRONICO,20.55,1343.4,False,SIN SUSCRIPCIÓN A INTERNET,0.685,False
0056-EPFBG,False,M,False,True,True,20,False,False,True,True,False,True,True,False,False,BIENAL,True,TARJETA CREDITO,39.4,825.4,True,DSL,1.3133333333333332,False
0057-QBUQH,False,F,False,False,True,43,True,True,False,False,False,False,False,False,False,BIENAL,True,CHEQUE ELECTRONICO,25.1,1070.15,False,SIN SUSCRIPCIÓN A INTERNET,0.8366666666666667,False
0058-EVZWM,False,F,False,True,False,55,True,True,True,True,False,False,False,True,False,MENSUAL,True,TRANSFERENCIA BANCARIA,89.8,4959.6,True,FIBRA OPTICA,2.993333333333333,True
0060-FUALY,False,F,False,True,False,59,True,True,True,True,True,False,False,True,False,MENSUAL,True,CHEQUE ELECTRONICO,94.75,5597.65,False,FIBRA OPTICA,3.158333333333333,True
0064-SUDOG,False,F,False,True,True,12,True,False,False,False,False,False,False,False,False,BIENAL,False,TRANSFERENCIA BANCARIA,20.3,224.5,True,SIN SUSCRIPCIÓN A INTERNET,0.6766666666666666,False
0064-YIJGF,False,M,False,True,True,27,True,True,True,False,False,False,False,False,False,MENSUAL,True,TRANSFERENCIA BANCARIA,75.75,1929.0,True,FIBRA OPTICA,2.525,True
0067-DKWBL,True,M,True,False,False,2,True,False,True,True,False,False,False,False,False,MENSUAL,True,CHEQUE ELECTRONICO,49.25,91.1,False,DSL,1.6416666666666666,True
0068-FIGTF,False,F,False,False,False,27,True,False,True,False,True,True,True,True,True,ANUAL,False,CHEQUE POSTAL,78.2,2078.95,False,DSL,2.606666666666667,True
0071-NDAFP,False,M,False,True,True,25,True,True,False,False,False,False,False,False,False,BIENAL,False,TARJETA CREDITO,25.5,630.6,True,SIN SUSCRIPCIÓN A INTERNET,0.85,False
0074-HDKDG,False,M,False,True,True,25,True,False,True,True,True,True,False,False,False,ANUAL,True,TRANSFERENCIA BANCARIA,61.6,1611.0,True,DSL,2.0533333333333332,True
0076-LVEPS,False,M,False,False,True,29,False,False,True,True,True,True,True,False,False,MENSUAL,True,CHEQUE POSTAL,45.0,1242.45,False,DSL,1.5,False
0078-XZMHT,False,M,False,True,False,72,True,True,True,False,True,True,True,True,True,BIENAL,True,TRANSFERENCIA BANCARIA,85.15,6316.2,True,DSL,2.8383333333333334,True
0080-EMYVY,False,F,False,False,False,14,True,False,True,False,True,False,False,False,False,ANUAL,False,TARJETA CREDITO,51.45,727.85,True,DSL,1.715,True
0080-OROZO,False,F,False,False,False,35,True,False,True,False,False,True,True,True,True,ANUAL,True,CHEQUE ELECTRONICO,99.25,3532.0,False,FIBRA OPTICA,3.308333333333333,True
0082-LDZUE,False,M,False,False,False,1,True,False,True,False,False,False,False,False,False,MENSUAL,True,CHEQUE POSTAL,44.3,44.3,False,DSL,1.4766666666666666,True
0082-OQIQY,False,M,False,False,False,29,True,False,True,False,False,False,True,True,True,MENSUAL,True,CHEQUE ELECTRONICO,94.2,2607.6,False,FIBRA OPTICA,3.14,True
0083-PIVIK,False,M,False,False,False,64,True,True,True,True,True,True,True,True,False,ANUAL,False,CHEQUE ELECTRONICO,81.25,5567.55,False,DSL,2.7083333333333335,True
0089-IIQKO,False,F,False,True,True,39,True,True,True,False,False,False,True,True,True,MENSUAL,True,TARJETA CREDITO,99.95,3767.4,True,FIBRA OPTICA,3.3316666666666666,True
0093-EXYQL,False,F,True,False,False,40,True,False,True,False,False,False,False,True,True,MENSUAL,True,CHEQUE ELECTRONICO,91.55,3673.6,False,FIBRA OPTICA,3.0516666666666667,True
0093-XWZFY,True,M,False,False,False,40,True,True,True,False,True,True,False,True,True,MENSUAL,True,TARJETA CREDITO,104.5,4036.85,True,FIBRA OPTICA,3.4833333333333334,True
0094-OIFMO,True,F,True,False,False,11,True,False,True,False,True,False,False,True,True,MENSUAL,True,CHEQUE ELECTRONICO,95.0,1120.3,False,FIBRA OPTICA,3.1666666666666665,True
0096-BXERS,False,F,False,True,False,6,True,True,True,False,False,False,False,False,False,MENSUAL,False,CHEQUE ELECTRONICO,50.35,314.55,False,DSL,1.6783333333333335,True
0096-FCPUF,False,M,False,False,False,30,True,True,True,True,False,False,False,False,True,MENSUAL,True,CHEQUE POSTAL,64.5,1888.45,False,DSL,2.15,True
0098-BOWSO,False,M,False,False,False,27,True,False,False,False,False,False,False,False,False,MENSUAL,True,CHEQUE ELECTRONICO,19.4,529.8,False,SIN SUSCRIPCIÓN A INTERNET,0.6466666666666666,False
0100-DUVFC,False,M,True,True,False,70,True,True,True,False,True,True,False,True,True,ANUAL,True,CHEQUE ELECTRONICO,104.8,7308.95,False,FIBRA OPTICA,3.493333333333333,True
0103-CSITQ,False,F,False,True,False,57,True,True,True,False,True,True,True,True,True,ANUAL,True,TRANSFERENCIA BANCARIA,109.4,6252.7,True,FIBRA OPTICA,3.646666666666667,True
0104-PPXDV,False,M,False,True,False,58,True,False,True,False,False,True,False,False,False,ANUAL,False,TARJETA CREDITO,50.3,2878.55,True,DSL,1.6766666666666665,True
0106-GHRQR,False,M,False,False,False,16,True,True,True,False,True,True,False,False,True,MENSUAL,True,TRANSFERENCIA BANCARIA,71.4,1212.1,True,DSL,2.3800000000000003,True
0106-UGRDO,False,F,False,True,False,69,True,True,True,True,True,True,True,True,True,BIENAL,True,CHEQUE ELECTRONICO,116.0,8182.85,False,FIBRA OPTICA,3.8666666666666667,True
0107-WESLM,True,M,False,False,False,1,True,False,False,False,False,False,False,False,False,MENSUAL,True,CHEQUE ELECTRONICO,19.85,19.85,False,SIN SUSCRIPCIÓN A INTERNET,0.6616666666666667,False
0107-YHINA,True,M,False,False,True,1,True,True,True,False,False,True,False,True,True,MENSUAL,True,CHEQUE ELECTRONICO,99.75,99.75,False,FIBRA OPTICA,3.325,True
0111-KLBQG,False,M,True,True,True,32,True,False,True,False,True,False,False,True,True,MENSUAL,True,CHEQUE POSTAL,93.95,2861.45,False,FIBRA OPTICA,3.131666666666667,True
0112-QAWRZ,False,M,False,True,True,16,True,True,True,False,False,True,False,True,False,MENSUAL,True,TRANSFERENCIA BANCARIA,90.8,1442.2,True,FIBRA OPTICA,3.0266666666666664,True
0112-QWPNC,True,M,False,True,False,49,True,True,True,True,False,True,True,True,True,ANUAL,False,CHEQUE ELECTRONICO,84.35,4059.35,False,DSL,2.8116666666666665,True
0114-IGABW,False,F,False,True,False,71,False,False,True,False,True,True,True,True,True,BIENAL,False,TRANSFERENCIA BANCARIA,58.25,4145.9,True,DSL,1.9416666666666667,False
0114-PEGZZ,False,F,False,False,False,33,True,True,True,False,True,True,False,True,True,MENSUAL,False,CHEQUE ELECTRONICO,107.55,3645.5,False,FIBRA OPTICA,3.585,True
0114-RSRRW,False,F,False,True,False,10,True,False,False,False,False,False,False,False,False,MENSUAL,True,TRANSFERENCIA BANCARIA,19.95,187.75,True,SIN SUSCRIPCIÓN A INTERNET,0.6649999999999999,False
0115-TFERT,True,M,False,True,False,21,True,True,True,False,True,True,True,True,True,MENSUAL,True,CHEQUE ELECTRONICO,111.2,2317.1,False,FIBRA OPTICA,3.7066666666666666,True
0117-LFRMW,True,M,False,True,True,37,False,False,True,True,True,True,False,False,False,MENSUAL,False,TRANSFERENCIA BANCARIA,40.2,1448.8,True,DSL,1.34,False
0118-JPNOY,False,F,True,False,False,26,True,False,True,True,False,False,False,True,False,MENSUAL,True,TARJETA CREDITO,85.8,2193.65,True,FIBRA OPTICA,2.86,True
0120-YZLQA,True,M,False,False,False,71,True,False,False,False,False,False,False,False,False,BIENAL,True,TARJETA CREDITO,19.9,1355.1,True,SIN SUSCRIPCIÓN A INTERNET,0.6633333333333333,False
0121-SNYRK,False,M,False,False,False,50,False,False,True,True,False,False,True,False,False,ANUAL,True,CHEQUE POSTAL,35.4,1748.9,False,DSL,1.18,False
0122-OAHPZ,True,F,False,False,False,7,True,True,True,False,False,False,False,False,False,MENSUAL,True,CHEQUE ELECTRONICO,73.85,511.25,False,FIBRA OPTICA,2.4616666666666664,True
0123-CRBRT,False,F,False,True,True,61,True,True,True,True,True,True,True,True,True,BIENAL,False,CHEQUE POSTAL,88.1,5526.75,False,DSL,2.9366666666666665,True
0125-LZQXK,True,M,False,False,False,15,True,False,True,False,False,True,True,True,True,MENSUAL,True,CHEQUE ELECTRONICO,101.35,1553.95,False,FIBRA OPTICA,3.378333333333333,True
0128-MKWSG,False,F,False,False,True,26,False,False,True,True,False,False,True,False,True,MENSUAL,False,CHEQUE POSTAL,45.8,1147.0,False,DSL,1.5266666666666666,False
0129-KPTWJ,False,M,False,True,False,72,True,False,True,False,False,True,False,True,True,MENSUAL,True,CHEQUE ELECTRONICO,94.65,6747.35,False,FIBRA OPTICA,3.1550000000000002,True
0129-QMPDR,False,M,False,True,True,44,True,False,False,False,False,False,False,False,False,ANUAL,True,TRANSFERENCIA BANCARIA,20.5,865.05,True,SIN SUSCRIPCIÓN A INTERNET,0.6833333333333333,False
0130-SXOUN,False,M,False,False,False,66,True,True,True,False,True,False,False,False,True,MENSUAL,False,TARJETA CREDITO,89.4,5976.9,True,FIBRA OPTICA,2.98,True
0133-BMFZO,True,F,False,False,False,2,True,False,True,True,True,False,True,False,False,MENSUAL,True,CHEQUE ELECTRONICO,86.25,181.65,False,FIBRA OPTICA,2.875,True
0134-XWXCE,False,F,True,False,False,44,True,False,True,False,False,True,True,True,True,ANUAL,False,TRANSFERENCIA BANCARIA,74.85,3268.05,True,DSL,2.4949999999999997,True
0135-NMXAP,True,F,False,False,False,12,True,True,True,False,True,False,False,True,False,MENSUAL,True,TRANSFERENCIA BANCARIA,89.75,1052.4,True,FIBRA OPTICA,2.9916666666666667,True
0136-IFMYD,False,M,True,True,False,69,True,True,True,False,True,True,True,True,True,BIENAL,True,CHEQUE ELECTRONICO,109.95,7634.25,False,FIBRA OPTICA,3.665,True
0137-OCGAB,True,F,False,False,False,1,True,True,True,False,True,False,False,False,False,MENSUAL,True,CHEQUE POSTAL,80.2,80.2,False,FIBRA OPTICA,2.6733333333333333,True
0137-UDEUO,True,F,False,False,False,3,True,False,False,False,False,False,False,False,False,MENSUAL,False,CHEQUE POSTAL,19.85,63.75,False,SIN SUSCRIPCIÓN A INTERNET,0.6616666666666667,False
0139-IVFJG,False,F,False,True,False,2,True,False,True,True,True,False,False,True,False,MENSUAL,False,CHEQUE ELECTRONICO,90.35,190.5,False,FIBRA OPTICA,3.0116666666666663,True
0141-YEAYS,False,F,True,False,False,27,True,True,True,False,True,True,False,False,False,MENSUAL,True,TRANSFERENCIA BANCARIA,86.45,2401.05,True,FIBRA OPTICA,2.881666666666667,True
0142-GVYSN,False,M,False,False,False,26,True,False,False,False,False,False,False,False,False,MENSUAL,True,CHEQUE ELECTRONICO,20.3,511.25,False,SIN SUSCRIPCIÓN A INTERNET,0.6766666666666666,False
0147-ESWWR,False,F,True,True,False,39,True,True,True,False,False,False,True,True,True,MENSUAL,True,CHEQUE ELECTRONICO,101.25,3949.15,False,FIBRA OPTICA,3.375,True
0148-DCDOS,True,M,False,False,False,25,True,True,True,False,False,False,False,True,True,MENSUAL,True,TRANSFERENCIA BANCARIA,94.7,2362.1,True,FIBRA OPTICA,3.1566666666666667,True
0151-ONTOV,True,F,False,False,False,1,True,False,True,False,False,False,False,False,False,MENSUAL,False,CHEQUE POSTAL,70.9,70.9,False,FIBRA OPTICA,2.3633333333333337,True
0154-QYHJU,True,M,False,False,False,29,True,False,True,True,True,False,True,False,False,ANUAL,True,CHEQUE ELECTRONICO,58.75,1696.2,False,DSL,1.9583333333333333,True
0156-FVPTA,True,M,False,True,False,22,True,False,True,True,False,False,True,False,False,MENSUAL,True,CHEQUE ELECTRONICO,54.2,1152.7,False,DSL,1.8066666666666669,True
0162-RZGMZ,True,F,True,False,False,5,True,False,True,True,True,False,True,False,False,MENSUAL,False,TARJETA CREDITO,59.9,287.85,True,DSL,1.9966666666666666,True
0164-APGRB,False,F,False,False,False,72,True,True,True,True,True,True,True,True,True,BIENAL,True,CHEQUE ELECTRONICO,114.9,8496.7,False,FIBRA OPTICA,3.83,True
0164-XAIRP,False,F,False,False,False,24,True,False,False,False,False,False,False,False,False,BIENAL,True,TRANSFERENCIA BANCARIA,19.55,470.2,True,SIN SUSCRIPCIÓN A INTERNET,0.6516666666666667,False
0168-XZKBB,False,F,False,True,False,19,True,True,True,False,False,False,False,True,False,MENSUAL,True,CHEQUE ELECTRONICO,86.85,1564.4,False,FIBRA OPTICA,2.895,True
0174-QRVVY,False,M,False,True,True,71,True,True,False,False,False,False,False,False,False,BIENAL,False,TARJETA CREDITO,25.35,1847.55,True,SIN SUSCRIPCIÓN A INTERNET,0.8450000000000001,False
0177-PXBAT,False,M,True,True,False,33,True,True,True,True,False,True,True,True,True,MENSUAL,True,TRANSFERENCIA BANCARIA,109.9,3694.7,True,FIBRA OPTICA,3.6633333333333336,True
0178-CIIKR,False,F,False,False,False,3,True,False,False,False,False,False,False,False,False,MENSUAL,False,CHEQUE POSTAL,19.95,58.0,False,SIN SUSCRIPCIÓN A INTERNET,0.6649999999999999,False
0178-SZBHO,False,M,False,True,True,47,True,True,True,False,True,False,False,True,False,MENSUAL,False,CHEQUE ELECTRONICO,87.2,4017.45,False,FIBRA OPTICA,2.9066666666666667,True
0181-RITDD,False,M,False,True,True,62,True,False,True,True,True,True,True,True,True,BIENAL,False,CHEQUE POSTAL,108.15,6825.65,False,FIBRA OPTICA,3.605,True
0186-CAERR,False,M,False,False,False,71,True,True,True,True,True,True,True,True,True,ANUAL,True,TRANSFERENCIA BANCARIA,116.3,8309.55,True,FIBRA OPTICA,3.8766666666666665,True
0187-QSXOE,False,M,True,True,False,7,True,False,True,False,False,False,False,True,True,MENSUAL,True,CHEQUE ELECTRONICO,89.0,605.45,False,FIBRA OPTICA,2.966666666666667,True
0187-WZNAB,False,F,False,True,True,27,True,False,True,True,False,False,False,False,False,MENSUAL,False,CHEQUE POSTAL,74.4,1972.35,False,FIBRA OPTICA,2.48,True
0188-GWFLE,False,M,False,False,False,2,True,False,False,False,False,False,False,False,False,MENSUAL,False,CHEQUE POSTAL,20.05,33.7,False,SIN SUSCRIPCIÓN A INTERNET,0.6683333333333333,False
0191-EQUUH,False,F,False,False,True,25,False,False,True,True,False,False,True,False,False,BIENAL,False,TRANSFERENCIA BANCARIA,35.05,844.45,True,DSL,1.1683333333333332,False
0191-ZHSKZ,False,M,True,False,False,30,True,False,True,True,True,False,False,True,True,MENSUAL,True,CHEQUE ELECTRONICO,74.75,2111.3,False,DSL,2.4916666666666667,True
0193-ESZXP,True,F,True,True,False,58,True,False,True,True,True,False,True,True,True,ANUAL,True,TARJETA CREDITO,105.5,6205.5,True,FIBRA OPTICA,3.5166666666666666,True
0195-IESCP,True,M,False,True,False,10,True,True,True,False,False,False,False,False,True,MENSUAL,True,CHEQUE ELECTRONICO,85.25,855.3,False,FIBRA OPTICA,2.841666666666667,True
0196-JTUQI,False,F,False,False,False,9,True,True,True,False,False,False,False,False,False,MENSUAL,True,TARJETA CREDITO,75.2,633.85,True,FIBRA OPTICA,2.506666666666667,True
0196-VULGZ,True,F,True,True,False,6,True,True,True,False,False,False,False,False,True,MENSUAL,True,CHEQUE ELECTRONICO,84.35,474.9,False,FIBRA OPTICA,2.8116666666666665,True
0197-PNKNK,False,F,False,True,True,69,True,True,True,True,False,True,False,False,False,ANUAL,False,TRANSFERENCIA BANCARIA,84.45,5848.6,True,FIBRA OPTICA,2.815,True
0201-MIBOL,False,F,True,False,False,66,True,True,True,True,False,False,False,True,True,BIENAL,True,TRANSFERENCIA BANCARIA,102.4,6471.85,True,FIBRA OPTICA,3.4133333333333336,True
0201-OAMXR,True,F,False,False,False,70,True,True,True,True,True,True,True,True,True,ANUAL,False,TARJETA CREDITO,115.55,8127.6,True,FIBRA OPTICA,3.8516666666666666,True
0203-HHYIJ,True,M,False,False,False,25,True,True,False,False,False,False,False,False,False,ANUAL,False,TRANSFERENCIA BANCARIA,25.3,676.35,True,SIN SUSCRIPCIÓN A INTERNET,0.8433333333333334,False
0206-OYVOC,False,F,False,True,True,46,True,False,False,False,False,False,False,False,False,BIENAL,True,CHEQUE POSTAL,19.25,864.2,False,SIN SUSCRIPCIÓN A INTERNET,0.6416666666666667,False
0206-TBWLC,False,F,False,True,False,54,True,True,True,True,True,True,True,True,True,ANUAL,True,CHEQUE POSTAL,114.65,6049.5,False,FIBRA OPTICA,3.8216666666666668,True
0207-MDKNV,True,F,False,False,False,15,True,False,True,True,False,True,True,True,True,MENSUAL,False,CHEQUE ELECTRONICO,105.1,1582.75,False,FIBRA OPTICA,3.503333333333333,True
0208-BPQEJ,False,F,False,True,True,12,True,False,False,False,False,False,False,False,False,MENSUAL,False,TRANSFERENCIA BANCARIA,19.4,198.1,True,SIN SUSCRIPCIÓN A INTERNET,0.6466666666666666,False
0212-ISBBF,False,F,False,False,False,22,False,False,True,False,True,False,False,True,True,MENSUAL,True,CHEQUE ELECTRONICO,50.35,1098.85,False,DSL,1.6783333333333335,False
0214-JHPFW,False,F,False,True,False,70,False,False,True,False,True,True,True,True,True,BIENAL,False,TRANSFERENCIA BANCARIA,57.8,4039.3,True,DSL,1.9266666666666665,False
0215-BQKGS,False,M,False,False,False,30,True,False,True,True,True,True,False,False,False,MENSUAL,True,TARJETA CREDITO,84.3,2438.6,True,FIBRA OPTICA,2.81,True
0218-QNVAS,False,M,False,True,True,71,True,True,True,False,True,False,False,True,True,ANUAL,False,TRANSFERENCIA BANCARIA,100.55,7113.75,True,FIBRA OPTICA,3.3516666666666666,True
0219-QAERP,False,M,False,True,False,30,True,False,False,False,False,False,False,False,False,ANUAL,False,TARJETA CREDITO,19.8,576.65,True,SIN SUSCRIPCIÓN A INTERNET,0.66,False
0219-YTZUE,True,M,False,True,True,4,True,True,True,False,True,True,False,False,False,MENSUAL,True,TRANSFERENCIA BANCARIA,84.8,371.9,True,FIBRA OPTICA,2.8266666666666667,True
0220-EBGCE,True,M,False,False,False,2,True,False,True,False,False,True,False,False,True,MENSUAL,True,CHEQUE ELECTRONICO,85.85,167.3,False,FIBRA OPTICA,2.8616666666666664,True
0221-NAUXK,False,M,False,False,True,10,True,False,False,False,False,False,False,False,False,ANUAL,True,TRANSFERENCIA BANCARIA,19.95,219.5,True,SIN SUSCRIPCIÓN A INTERNET,0.6649999999999999,False
0221-WMXNQ,False,M,True,False,False,4,True,False,True,True,False,False,False,False,False,MENSUAL,False,CHEQUE ELECTRONICO,75.35,273.4,False,FIBRA OPTICA,2.5116666666666663,True
0222-CNVPT,False,M,True,False,False,52,False,False,True,True,False,False,False,True,True,MENSUAL,True,TARJETA CREDITO,48.8,2555.05,True,DSL,1.6266666666666665,False
0224-HJAPT,True,M,False,False,False,5,True,True,True,False,False,False,False,False,False,MENSUAL,False,CHEQUE ELECTRONICO,47.15,223.15,False,DSL,1.5716666666666665,True
0224-NIJLP,False,M,False,True,True,8,True,False,False,False,False,False,False,False,False,BIENAL,False,CHEQUE POSTAL,20.15,165.5,False,SIN SUSCRIPCIÓN A INTERNET,0.6716666666666666,False
0224-RLWWD,False,F,True,False,False,2,True,False,True,False,False,False,False,False,False,MENSUAL,True,CHEQUE ELECTRONICO,44.3,89.3,False,DSL,1.4766666666666666,True
0225-ZORZP,False,M,False,False,False,3,True,False,True,False,True,False,False,False,True,MENSUAL,False,CHEQUE ELECTRONICO,84.3,235.05,False,FIBRA OPTICA,2.81,True
0228-MAUWC,False,M,False,False,False,19,True,True,True,False,False,True,True,False,False,MENSUAL,False,CHEQUE ELECTRONICO,59.55,1144.6,False,DSL,1.9849999999999999,True
0229-LFJAF,False,M,False,False,False,72,True,True,True,True,True,True,True,False,False,BIENAL,False,TRANSFERENCIA BANCARIA,69.65,4908.25,True,DSL,2.3216666666666668,True
0230-UBYPQ,False,M,True,True,False,63,False,False,True,True,False,False,True,False,False,ANUAL,False,TRANSFERENCIA BANCARIA,36.1,2298.9,True,DSL,1.2033333333333334,False
0230-WEQUW,False,M,False,True,False,66,False,False,True,True,True,True,True,True,False,BIENAL,True,TRANSFERENCIA BANCARIA,56.6,3789.2,True,DSL,1.8866666666666667,False
0231-LXVAP,True,M,False,False,False,1,True,False,True,False,False,False,True,False,False,MENSUAL,True,CHEQUE ELECTRONICO,75.9,75.9,False,FIBRA OPTICA,2.5300000000000002,True
